,0
0,4.326863896498666
1,4.368136819142661
2,4.2803563779844405
3,4.406432821125461
4,4.423017915467484
5,4.266182379099885
6,4.357303907887616
7,4.2723673481674425
8,4.235621812566008
9,4.402110728980501
10,4.330052240709522
11,4.212833512436896
12,4.212833512436896
13,4.290727727311407
14,4.296024350332376
15,4.306647789017158
16,4.360016590534096
17,4.277984955268658
18,4.349880939286954
19,4.3150346237073816
20,4.306647789017158
21,4.274596543593031
22,4.2311059894787215
23,4.368136819142661
24,4.210688808226229
25,4.397295027884723
26,4.2902083196372125
27,4.290727727311407
28,4.516806927174643
29,4.4599992076909345
30,4.277984955268658
31,4.368136819142661
32,4.1353740297156705
33,4.101279974268463
34,4.275852950752774
35,4.3246056600662435
36,4.224866207361021
37,4.269973088363196
38,4.333008006482979
39,4.226583447422617
40,4.397295027884723
41,4.315685745989153
42,4.406432821125461
43,4.540250086771786
44,4.34624447203999
45,4.30554412940458
46,4.5278350483917285
47,4.22596540336147
48,4.3150346237073816
49,4.277984955268658
50,4.266571931617923
51,4.37423414561835
52,4.3550093268759325
53,4.315685745989153
54,4.3688394211356405
55,4.274596543593031
56,4.540250086771786
57,4.406432821125461
58,4.116218582521511
59,4.116218582521511
60,4.2131905257380025
61,4.254854625627361
62,4.326863896498666
63,4.368136819142661
64,4.348988980934628
65,4.23239947811778
66,4.320482737657628
67,4.210688808226229
68,4.38545943313722
69,4.357303907887616
70,4.516806927174643
71,4.2131905257380025
72,4.101279974268463
73,4.266568506587267
74,4.440883859855231
75,4.2902083196372125
76,4.247864364243352
77,4.235621812566008
78,4.296325173998271
79,4.343958621799664
80,4.2027626116097485
81,4.263435866737172
82,4.269973088363196
83,4.275789119058359
84,4.116218582521511
85,4.341482851703618
86,4.269973088363196
87,4.368136819142661
88,4.2131905257380025
89,4.250319544083715
90,4.210688808226229
91,4.37423414561835
92,4.172503018727996
93,4.263435866737172
94,4.539928321913116
95,4.2004082193998675
96,4.232031715922222
97,4.368396704387125
98,4.368136819142661
99,4.368136819142661
100,4.329011646368018
101,4.210688808226229
102,4.294491171552979
103,4.412445841490662
104,4.349616107725362
105,4.399109222677382
106,4.42549479067804
107,4.101279974268463
108,4.095202568004439
109,4.291953438988336
110,4.269973088363196
111,4.287478955535356
112,4.210688808226229
113,4.31407303811497
114,4.349616107725362
115,4.232031715922222
116,4.272491588269168
117,4.397295027884723
118,4.095202568004439
119,4.322532978784865
120,4.273984451229164
121,4.282746816622668
122,4.343373746891353
123,4.210688808226229
124,4.278699823968136
125,4.215087291007616
126,4.095202568004439
127,4.349616107725362
128,4.540250086771786
129,4.444083589750128
130,4.250319544083715
131,4.329011646368018
132,4.406432821125461
133,4.306647789017158
134,4.245845797141591
135,4.210688808226229
136,4.540250086771786
137,4.392796377868531
138,4.5278350483917285
139,4.2004082193998675
140,4.406432821125461
141,4.478225740199055
142,4.2902083196372125
143,4.077194289830147
144,4.266182379099885
145,4.343373746891353
146,4.095202568004439
147,4.275789119058359
148,4.346295902302185
149,4.210688808226229
150,4.368136819142661
151,4.269973088363196
152,4.210688808226229
153,4.343373746891353
154,4.5278350483917285
155,4.343373746891353
156,4.464168671513356
157,4.2358920933071795
158,4.290727727311407
159,4.210688808226229
160,4.101279974268463
161,4.540250086771786
162,4.42549479067804
163,4.343373746891353
164,4.210688808226229
165,4.29606089721801
166,4.269973088363196
167,4.095202568004439
168,4.266182379099885
169,4.250319544083715
170,4.292175033039014
171,4.343958621799664
172,4.416585145504279
173,4.297642613724608
174,4.416614396653541
175,4.278994396175681
176,4.077194289830147
177,4.444083589750128
178,4.210688808226229
179,4.368136819142661
180,4.291902515874739
181,4.539928321913116
182,4.497829374093882
183,4.540250086771786
184,4.1170426910074704
185,4.23705080274707
186,4.296024350332376
187,4.329011646368018
188,4.289670518546491
189,4.21792286110326
190,4.277984955268658
191,4.338794902396122
192,4.348988980934628
193,4.210688808226229
194,4.310962958585423
195,4.5278350483917285
196,4.343373746891353
197,4.42549479067804
198,4.320482737657628
199,4.333917636389971
200,4.240081508391996
201,4.291953438988336
202,4.172503018727996
203,4.540250086771786
204,4.343373746891353
205,4.172503018727996
206,4.523200935982887
207,4.116218582521511
208,4.230025899260664
209,4.266182379099885
210,4.250319544083715
211,4.269973088363196
212,4.343373746891353
213,4.406432821125461
214,4.343373746891353
215,4.368136819142661
216,4.357303907887616
217,4.271420394090803
218,4.3460367709637495
219,4.243915683826624
220,4.217671403765188
221,4.540250086771786
222,4.272491588269168
223,4.368136819142661
224,4.2902083196372125
225,4.095202568004439
226,4.3150346237073816
227,4.277984955268658
228,4.2902083196372125
229,4.292175033039014
230,4.478225740199055
231,4.296024350332376
232,4.2723673481674425
233,4.478225740199055
234,4.539928321913116
235,4.077194289830147
236,4.290727727311407
237,4.343373746891353
238,4.406432821125461
239,4.172503018727996
240,4.333917636389971
241,4.259775393953972
242,4.210688808226229
243,4.3460367709637495
244,4.275789119058359
245,4.406432821125461
246,4.357303907887616
247,4.444083589750128
248,4.444083589750128
249,4.101279974268463
250,4.395145829414912
251,4.368136819142661
252,4.30340207720396
253,4.416614396653541
254,4.247864364243352
255,4.289670518546491
256,4.349880939286954
257,4.349880939286954
258,4.269973088363196
259,4.318979028136924
260,4.523200935982887
261,4.28274104485838
262,4.326863896498666
263,4.315685745989153
264,4.540250086771786
265,4.142268242845124
266,4.215087291007616
267,4.218000722986362
268,4.277236424785966
269,4.540250086771786
270,4.362010781249795
271,4.320745918022718
272,4.121810923666409
273,4.172503018727996
274,4.329011646368018
275,4.210688808226229
276,4.266568506587267
277,4.343373746891353
278,4.423017915467484
279,4.2902083196372125
280,4.271787325313375
281,4.306647789017158
282,4.368136819142661
283,4.2719173677377755
284,4.3150346237073816
285,4.274596543593031
286,4.273984451229164
287,4.406432821125461
288,4.101279974268463
289,4.391538034856887
290,4.3150346237073816
291,4.523200935982887
292,4.406432821125461
293,4.326491594645898
294,4.3427506210170455
295,4.116218582521511
296,4.3150346237073816
297,4.263435866737172
298,4.216336889921676
299,4.092132898083195
300,4.406432821125461
301,4.2902083196372125
302,4.368136819142661
303,4.315685745989153
304,4.310962958585423
305,4.37423414561835
306,4.478225740199055
307,4.379818597449678
308,4.310962958585423
309,4.195998008883517
310,4.210688808226229
311,4.271420394090803
312,4.269973088363196
313,4.099078254359171
314,4.357303907887616
315,4.306892047241384
316,4.388666580106433
317,4.348988980934628
318,4.540250086771786
319,4.280194472628626
320,4.277984955268658
321,4.315685745989153
322,4.381184069983971
323,4.37423414561835
324,4.343373746891353
325,4.320482737657628
326,4.329011646368018
327,4.306647789017158
328,4.310962958585423
329,4.172503018727996
330,4.172503018727996
331,4.2902083196372125
332,4.348988980934628
333,4.310962958585423
334,4.172503018727996
335,4.226583447422617
336,4.210688808226229
337,4.2131905257380025
338,4.349616107725362
339,4.095202568004439
340,4.3460367709637495
341,4.2358920933071795
342,4.404901898640909
343,4.254854625627361
344,4.540250086771786
345,4.290727727311407
346,4.406432821125461
347,4.278994396175681
348,4.442204823618748
349,4.42549479067804
350,4.348988980934628
351,4.306647789017158
352,4.377304813672108
353,4.269973088363196
354,4.269973088363196
355,4.31407303811497
356,4.247772706977812
357,4.1353740297156705
358,4.305546820996024
359,4.1947694460711835
360,4.21792286110326
361,4.210688808226229
362,4.210688808226229
363,4.343373746891353
364,4.210688808226229
365,4.266568506587267
366,4.172503018727996
367,4.217671403765188
368,4.329011646368018
369,4.2902083196372125
370,4.2939227095510235
371,4.283332305906567
372,4.305795992286186
373,4.343373746891353
374,4.3150346237073816
375,4.271420394090803
376,4.393880688612754
377,4.388666580106433
378,4.291953438988336
379,4.343958621799664
380,4.34624447203999
381,4.172503018727996
382,4.540250086771786
383,4.406432821125461
384,4.343373746891353
385,4.225146165547912
386,4.363846239942728
387,4.277032893801516
388,4.31407303811497
389,4.444083589750128
390,4.277984955268658
391,4.3550093268759325
392,4.464168671513356
393,4.315623094844342
394,4.273984451229164
395,4.3150346237073816
396,4.296024350332376
397,4.306647789017158
398,4.406432821125461
399,4.277984955268658
400,4.290727727311407
401,4.172503018727996
402,4.210688808226229
403,4.540250086771786
404,4.296024350332376
405,4.238714635811756
406,4.275789119058359
407,4.172503018727996
408,4.522879171124218
409,4.180188499257013
410,4.3460367709637495
411,4.217671403765188
412,4.210688808226229
